element_type,osmid,name,year_commissioned,operator
way,1073692887,Calipatria Solar Farm,2016,Southern Power Co
way,1110445420,Calipatria State Prison,,"Ecoplexus, Inc"
relation,6235170,Campo Verde Solar,2013,Southern Power Co
relation,6235171,CE Leathers,2000,CalEnergy Operating Corporation
relation,9081854,Centinela Solar Energy,2014,"CD Arevon USA, Inc."
relation,9222664,Centinela State Prison Solar,2021,"Ecoplexus, Inc"
relation,10945395,Citizens Imperial Solar,2019,Citizens Enterprises Corporation
relation,14180414,Community Solar 1,,
relation,14297873,Del Ranch Company,1989,CalEnergy Operating Corporation
relation,14297874,Dixieland Solar,,AES
relation,14297878,Drop 5,,Imperial Irrigation District
relation,14297879,East Highline Power Plant,,Imperial Irrigation District
way,315098441,El Centro Power Plant,,Imperial Irrigation District
way,964189672,Elmore Company,1996,CalEnergy Operating Corporation
way,964189673,Geo East Mesa II and Ormesa III,,Ormat Nevada Inc
way,964189674,Heber 1 Geothermal Plant,1985,Ormat
way,1073692890,Heber 2 Geothermal Plant,1993,Ormat
way,1073692897,Heber Solar,,Axium US Solar Holdings LLC
way,1073692902,Imperial Solar Energy Center South,2013,CSOLAR IV South LLC
relation,14297876,Imperial Solar Energy Center West,2016,Tenaska
relation,14297880,Imperial Valley Solar Co 2,2012,Onward Energy
way,166649173,Imperial Valley Solar Company 1 LLC,2012,Imperial Irrigation District
way,917201159,Imperial Valley Solar Farm,,"Imperial Valley Solar, LLC"
way,931029265,John L. Featherstone Plant,2012,Hudson Ranch Power I LLC
way,964177732,Mesquite Lake Energy Park Plant 2,,Mesquite Lake Energy Park
way,1033095256,Mesquite Lake Water & Power Plant 1,,Mesquite Lake Water & Power Plant 1
way,1073692900,Midway Solar Farm 1,2018,"83WI 8ME, LLC"
relation,14180413,Midway Solar Farm II,2017,Dominion Renewable Energy
relation,14297875,Midway Solar Farm III,2018,Greenbacker Renewable Energy Corporation
relation,14297877,Mount Signal Solar Farm II,2020,"Imperial Valley Solar 2, LLC"
way,90915140,Mount Signal Solar Farm V,2020,"Imperial Valley Solar 3, LLC"
way,192558741,Niland Gas Turbine Plant,2008,Imperial Irrigation District
way,429981166,North Brawley Geothermal Plant,,Ormat
way,607132293,Ormesa I,,Ormat Nevada Inc
way,931590517,Rockwood Power Plant,,Imperial Irrigation District
way,964185965,Salton Sea Power,,CalEnergy Operating Corporation
way,1073692869,Sol Orchard El Centro PV,2013,"Sol Orchard Imperial 1, LLC"
way,1073692874,Solar Gen 2 Solar Facility,2014,Southern Power Co
way,1073692877,Valencia 1 Solar,,ZGlobal Inc
way,1073692878,Valencia Solar 2,,Greenbacker Renewable Energy Corporation
way,1073692883,Valencia Solar 3,,Greenbacker Renewable Energy Corporation
way,1073692888,Vulcan-BN Geothermal Power Company,1985,CalEnergy Operating Corporation
way,1073692889,Wistaria Ranch Solar,2018,Consolidated Edison Development Inc.
way,1150491227,,,
