MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190212,6025,Imperial,CA,0,92.54,7.46,0,0,0,2019-02-12,2019-02-18,2
20190205,6025,Imperial,CA,0,92.54,7.46,0,0,0,2019-02-05,2019-02-11,2
20190129,6025,Imperial,CA,0,15.36,84.64,0,0,0,2019-01-29,2019-02-04,2
20190122,6025,Imperial,CA,0,15.63,84.37,0,0,0,2019-01-22,2019-01-28,2
20190115,6025,Imperial,CA,0,13.43,86.57,0,0,0,2019-01-15,2019-01-21,2
20190108,6025,Imperial,CA,0,13.43,33.45,53.12,0,0,2019-01-08,2019-01-14,2
20190101,6025,Imperial,CA,0,13.43,33.45,53.12,0,0,2019-01-01,2019-01-07,2
20181225,6025,Imperial,CA,0,13.44,33.37,53.19,0,0,2018-12-25,2018-12-31,2
20181218,6025,Imperial,CA,0,13.44,33.37,53.19,0,0,2018-12-18,2018-12-24,2
20181211,6025,Imperial,CA,0,13.44,33.37,53.19,0,0,2018-12-11,2018-12-17,2
20181204,6025,Imperial,CA,0,0,17.71,29.03,53.26,0,2018-12-04,2018-12-10,2
20181127,6025,Imperial,CA,0,0,17.71,29.03,53.26,0,2018-11-27,2018-12-03,2
20181120,6025,Imperial,CA,0,0,17.71,29.03,53.26,0,2018-11-20,2018-11-26,2
20181113,6025,Imperial,CA,0,0,17.71,29.03,53.26,0,2018-11-13,2018-11-19,2
20181106,6025,Imperial,CA,0,0,17.71,29.03,53.26,0,2018-11-06,2018-11-12,2
20181030,6025,Imperial,CA,0,0,0.06,18.35,81.6,0,2018-10-30,2018-11-05,2
20181023,6025,Imperial,CA,0,0,0.06,18.35,81.6,0,2018-10-23,2018-10-29,2
20181016,6025,Imperial,CA,0,0,0,18.4,81.6,0,2018-10-16,2018-10-22,2
20181009,6025,Imperial,CA,0,0,0,3.93,96.07,0,2018-10-09,2018-10-15,2
20181002,6025,Imperial,CA,0,0,0,0.4,99.6,0,2018-10-02,2018-10-08,2
20180925,6025,Imperial,CA,0,0,0,0,100,0,2018-09-25,2018-10-01,2
20180918,6025,Imperial,CA,0,0,0,0,100,0,2018-09-18,2018-09-24,2
20180911,6025,Imperial,CA,0,0,0,0,100,0,2018-09-11,2018-09-17,2
20180904,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-09-04,2018-09-10,2
20180828,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-08-28,2018-09-03,2
20180821,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-08-21,2018-08-27,2
20180814,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-08-14,2018-08-20,2
20180807,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-08-07,2018-08-13,2
20180731,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-07-31,2018-08-06,2
20180724,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-07-24,2018-07-30,2
20180717,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-07-17,2018-07-23,2
20180710,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-07-10,2018-07-16,2
20180703,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-07-03,2018-07-09,2
20180626,6025,Imperial,CA,0,0,0,28.38,71.62,0,2018-06-26,2018-07-02,2
