element_type,osmid,barrier,geometry,nodes,landuse,name,operator,plant:output:electricity,plant:source,power,ref:US:EIA,source,start_date,plant:method,ways,type,wikidata,wikipedia,operator:short,operator:wikidata,plant:type,alt_name,waterway
way,1073692887,,"POLYGON ((-115.77444583876694 32.82950568398446, -115.77442739242802 32.83309122634888, -115.76861825804396 32.83307015833099, -115.76863267227813 32.83027199116465, -115.77241301523947 32.83028570049992, -115.77241704737276 32.829498325315484, -115.77444583876694 32.82950568398446))","[9849123929, 9849123928, 9849123927, 9849123926, 9849123925, 9849123924, 9849123929]",,Centinela State Prison Solar,"Ecoplexus, Inc",6 MW,solar,plant,64519,U.S. Energy Information Administration - EIA-860 - 2021,2019-12,,,,,,,,,,
way,1110445420,,"POLYGON ((-115.60468376979878 32.80413269322882, -115.60469392357187 32.80283426942729, -115.60396851960427 32.8028302481914, -115.60395846584404 32.80412867199508, -115.60468376979878 32.80413269322882))","[10158553123, 10158553122, 10158553121, 10158553120, 10158553123]",,,,yes,solar,plant,,,,photovoltaic,,,,,,,,,
relation,6235170,,"MULTIPOLYGON (((-115.65228494361197 32.67092530182901, -115.65224167194916 32.67756873796995, -115.64389347613853 32.67753689617547, -115.64387223846 32.67089795866409, -115.65228494361197 32.67092530182901)), ((-115.63470125489792 32.677617340922446, -115.61747368463502 32.677625848634456, -115.61740424809517 32.670792791259416, -115.62596707371011 32.670840440921594, -115.62606898398411 32.67094885423806, -115.63471762171385 32.67100330692437, -115.63470125489792 32.677617340922446)), ((-115.58243905922406 32.67771285313576, -115.58250904866068 32.670739786515725, -115.59098606128192 32.670796534930915, -115.59097239023127 32.67751447874832, -115.58375615604496 32.677511971639355, -115.58376684952594 32.677712891209985, -115.58243905922406 32.67771285313576)), ((-115.58241726258365 32.6850354545187, -115.58247115124229 32.67802678415492, -115.592109725025 32.678218978898094, -115.60407412887565 32.678497048407856, -115.60452478289513 32.67876128665699, -115.60494860721036 32.67967128606015, -115.60529733939161 32.680116038698216, -115.60550383824784 32.68088381823556, -115.60551450505719 32.68175080167334, -115.6004256643527 32.682030682700336, -115.60071255867891 32.685695242266405, -115.59450497044263 32.685654460436446, -115.59452382734355 32.68430193131165, -115.59149249670922 32.68420483510731, -115.59143343494877 32.68553466090012, -115.58241726258365 32.6850354545187)), ((-115.58217612859862 32.67753672871027, -115.57358109470557 32.67758848718439, -115.57361357361663 32.670746332088044, -115.58221130607926 32.67073757776835, -115.58217612859862 32.67753672871027)), ((-115.56499975721685 32.670298942125335, -115.56501330119134 32.66675570275939, -115.58226242517716 32.665450872225044, -115.58224613070236 32.670247531773036, -115.56499975721685 32.670298942125335)))","[[[4196335329, 4196335331, 4196335320, 4196335318, 4196335329], [4196335332, 4196335333, 4196335326, 4196335327, 4196335321, 4196335319, 4196335332], [4196335361, 4196335336, 4196335341, 4196335344, 4196335345, 4196335346, 4196335348, 4196335349, 4196335350, 4196335351, 4196335374, 4196335372, 4196335357, 4196335356, 4196335369, 4196335361], [4196335311, 4196335310, 4196335305, 4196335306, 4196335311], [4196335323, 4196335330, 4196335328, 4196335322, 4196335323], [6465957041, 6465957040, 6465957039, 6465957038, 6465957037, 6465957036, 6465957041]]]",industrial,Imperial Valley Solar Farm,"Imperial Valley Solar, LLC",199.9 MW,solar,plant,56917,U.S. Energy Information Administration - EIA-860 - 2021,2013-11,photovoltaic,"[419597377, 419597382, 419597369, 419597370, 419597371, 689254563]",multipolygon,Q6006932,en:Imperial Valley Solar Farm,,,,,
relation,6235171,,"MULTIPOLYGON (((-115.66184833305758 32.67047163164035, -115.65962225712768 32.659369502545395, -115.66115670489957 32.65867387961328, -115.6625356058487 32.658592611204085, -115.66804029475703 32.65860186932571, -115.67058318706722 32.66292015645929, -115.67041116079663 32.67047647675961, -115.66184833305758 32.67047163164035)), ((-115.65984445156892 32.6703248602903, -115.65295556358677 32.67032916380037, -115.65300425390406 32.66073124413782, -115.65468352568745 32.65995431756005, -115.65564396519306 32.65990914066953, -115.65833194895704 32.65994992139008, -115.65891660637773 32.66311624199461, -115.65868047107479 32.66315243872115, -115.65934031834354 32.666842611722494, -115.65929197696254 32.66770529312773, -115.65936166531273 32.668247247126544, -115.65984445156892 32.6703248602903)), ((-115.65965129735365 32.670988818480915, -115.66109962415851 32.67802063455521, -115.6528265383119 32.67800679671688, -115.6528697254766 32.670975023317226, -115.65965129735365 32.670988818480915)), ((-115.65245129128087 32.6703291493834, -115.64396347373928 32.67034250798108, -115.64399606062713 32.660776090949035, -115.64537496299985 32.66065871910578, -115.65251068386306 32.6607131282932, -115.65245129128087 32.6703291493834)))","[[[4196335313, 4196335315, 4196335301, 4196335298, 4196335299, 4196335313], [4196335312, 4196335314, 4196335300, 4196335297, 4196335295, 4196335296, 4196335303, 4196335304, 4196335307, 4196335308, 4196335309, 4196335312], [4196335325, 4196335335, 4196335334, 4196335324, 4196335325], [4196335316, 4196335294, 4196335293, 4196335291, 4196335292, 4196335302, 4196335317, 4196335316]]]",,Imperial Solar Energy Center South,CSOLAR IV South LLC,128.9 MW,solar,plant,57490,U.S. Energy Information Administration - EIA-860 - 2021,2013-11,photovoltaic,"[419597378, 419597368, 419597376, 419597383]",multipolygon,Q16934775,,,,,,
relation,9081854,fence,"MULTIPOLYGON (((-115.79243735519604 32.77625270051689, -115.79245441342847 32.78236708663448, -115.79245470310663 32.78262651148813, -115.79247591703036 32.789862705041244, -115.77977359140539 32.78986234265645, -115.77981298488827 32.78266245437925, -115.77090961249183 32.78248658349809, -115.77087054724772 32.78147688569884, -115.77019172650247 32.779555982382995, -115.77423870714165 32.7795780999789, -115.7767191727869 32.77934764867847, -115.77849463756898 32.77910617620338, -115.79243735519604 32.77625270051689)), ((-115.77548233356202 32.760862242677284, -115.78379362488683 32.76093158628862, -115.78394844297028 32.76103580068777, -115.78399174462048 32.76115031289466, -115.78400877566479 32.775459184184996, -115.78834639898383 32.775459307884844, -115.78834640274715 32.77536509886104, -115.7915231578953 32.77539939271773, -115.7915740539265 32.775681921231644, -115.77766524302739 32.778489593493404, -115.77560843720993 32.77874635940595, -115.7740811129544 32.7788661273001, -115.76974358866572 32.77889170598209, -115.76726167791247 32.775242985731104, -115.76660950909185 32.774620507504984, -115.76658426359585 32.768161988189405, -115.77547574219034 32.768133839139345, -115.77548233356202 32.760862242677284)))","[[[6119808448, 9099327011, 9099341170, 6119808449, 6119808450, 6119808451, 6119808452, 6119808453, 6119808454, 6119808455, 6119808456, 6119808457, 6119808448], [6119808431, 6119808432, 6119808433, 6119808434, 6119808435, 6119808436, 6119808437, 6119808438, 6119808439, 6119808440, 6119808441, 6119808442, 6119808443, 6119808444, 6119808445, 6119808446, 6119808447, 6119808431]]]",,Imperial Solar Energy Center West,Tenaska,148.7 MW,solar,plant,57491,U.S. Energy Information Administration - EIA-860 - 2021,2016-04,photovoltaic,"[652921364, 652921363]",multipolygon,Q38251293,,,,,,
relation,9222664,fence,"MULTIPOLYGON (((-115.77595830546677 32.80080288107145, -115.77595766641505 32.79927723502863, -115.77595730547762 32.79829954143695, -115.77613473757683 32.798134630716696, -115.77975955860539 32.798133734090584, -115.77976055201636 32.80080188950851, -115.77595830546677 32.80080288107145)), ((-115.77320003669715 32.80011123613118, -115.77110483594876 32.80010157538818, -115.77110926365091 32.79942521077956, -115.77121717914083 32.799425713908796, -115.7712178829918 32.79933200495989, -115.77320516824376 32.79934126258199, -115.77320003669715 32.80011123613118)), ((-115.77078236545668 32.800704923926645, -115.76725285784684 32.800713323948145, -115.76799074228606 32.79875465755917, -115.7682235757725 32.79875406415065, -115.76822209336152 32.79830922153188, -115.77077426040492 32.79830309381449, -115.77078236545668 32.800704923926645)))","[[[6212014186, 6212013857, 6212014187, 6212014188, 6212014189, 6212014190, 6212014186], [6212013874, 6212013875, 6212013876, 6212013877, 6212013878, 6212013879, 6212013874], [6212013880, 6212013881, 6212013882, 6212013883, 6212013884, 6212014185, 6212013880]]]",industrial,Dixieland Solar,AES,5 MW,solar,plant,60745;60744,U.S. Energy Information Administration - EIA-860 - 2021,2016-12,photovoltaic,"[663679234, 663679232, 663679233]",multipolygon,,,,,,,
relation,10945395,fence,"MULTIPOLYGON (((-115.73127681424681 32.757600268539655, -115.73127676930233 32.758723776155286, -115.73190442823407 32.762003908259814, -115.73191503589634 32.764350033260975, -115.72911973334459 32.76437705598592, -115.72803069517353 32.76392128122026, -115.72802014511126 32.7576362789582, -115.73127681424681 32.757600268539655)), ((-115.7191575803123 32.73993803021128, -115.71926467156487 32.745542970318354, -115.71893199853359 32.74617472134142, -115.71134561039325 32.7461474019504, -115.71126004721299 32.73991980283893, -115.7191575803123 32.73993803021128)), ((-115.71844337006115 32.75513176542987, -115.71880821631255 32.75528519055182, -115.71913014629358 32.75569123864443, -115.71912470218093 32.75677414221169, -115.7192535148994 32.75691855972524, -115.71925321798787 32.76433617010832, -115.71262716825613 32.7642907763419, -115.712649037687 32.75514060067132, -115.71844337006115 32.75513176542987)), ((-115.71506903270671 32.74645433775761, -115.71950066899649 32.74645446438956, -115.71981193498264 32.74592202226968, -115.72678663680281 32.74591322065522, -115.72676480779431 32.756562340226594, -115.71972559839662 32.75652603561963, -115.71971497016646 32.75469415985118, -115.71514381342318 32.75470303006635, -115.71506903270671 32.74645433775761)), ((-115.70638816254304 32.747049746702565, -115.70639869105106 32.75137266109709, -115.71230043804908 32.75138193068455, -115.71225739391193 32.754829259656304, -115.70407011727762 32.75485612816599, -115.70418844709705 32.74704068295324, -115.70638816254304 32.747049746702565)), ((-115.70346947560934 32.74874642579519, -115.6955826419043 32.74878230371631, -115.69561479891189 32.74747367928957, -115.69585096424785 32.74668851083376, -115.70351246557885 32.746652626454946, -115.70346947560934 32.74874642579519)), ((-115.68726630802742 32.7547744397034, -115.68728813757427 32.74662505984718, -115.69528227935893 32.74676970234836, -115.69501391735187 32.747356250857685, -115.69501377857452 32.75082188279854, -115.6958400798568 32.75125504791842, -115.69668767769082 32.75185072921183, -115.69706320739279 32.752455397864246, -115.6971275219456 32.75481982614928, -115.68726630802742 32.7547744397034)), ((-115.68725527667566 32.763004227396024, -115.68724489410738 32.75504516501561, -115.6974494573246 32.755090561284966, -115.69736339931774 32.758727307091554, -115.69767448566238 32.76267969444719, -115.69728811572634 32.76304061795212, -115.68725527667566 32.763004227396024)))","[[[6465959329, 6465959328, 6465959327, 6465959326, 6465959325, 6465959324, 6465959323, 6465959322, 6465959329], [6465959337, 6465959336, 6465959335, 6465959334, 6465959333, 6465959332, 6465959331, 6465959330, 6465959337], [6465959348, 6465959347, 6465959346, 6465959345, 6465959344, 6465959343, 6465959348], [6465959353, 6465959352, 6465959351, 6465959350, 6465959349, 6465959353], [6465959362, 6465959361, 6465959360, 6465959359, 6465959358, 6465959357, 6465959356, 6465959355, 6465959354, 6465959362], [6465959368, 6465959367, 6465959366, 6465959365, 6465959364, 6465959363, 6465959368], [6465959342, 6465959341, 6465959340, 6465959339, 6465959338, 6465959342], [6465959321, 6465959320, 6465959319, 6465959318, 6465959317, 6465959316, 6465959315, 6465959321]]]",,Campo Verde Solar,Southern Power Co,147.4 MW,solar,plant,58467,U.S. Energy Information Administration - EIA-860 - 2021,2013-10,photovoltaic,"[689254694, 689254695, 689254697, 689254698, 689254699, 689254700, 689254696, 689254693]",multipolygon,Q16911917,,,,,,
relation,14180414,,"MULTIPOLYGON (((-115.54085476442917 32.81019633526536, -115.54101979407362 32.81004872592446, -115.5446466143042 32.81005333089225, -115.54469361845491 32.81011753837924, -115.54469479158784 32.81326163868965, -115.54467068680744 32.81329434111803, -115.54463578065888 32.81332254280526, -115.54460087496705 32.813339443413255, -115.54456066887832 32.81334734300887, -115.5440522960658 32.81334392803057, -115.5436754419886 32.813343917167764, -115.54367679028448 32.812153503520626, -115.54181642265124 32.81217035150905, -115.54182308146616 32.813213151288345, -115.54085334204413 32.81321982397283, -115.54085476442917 32.81019633526536)), ((-115.5408078770138 32.809718388267, -115.54076918061993 32.804541392678935, -115.54508149908206 32.80454831760616, -115.54508273345986 32.80617737325131, -115.54498611617903 32.80626197854866, -115.54476888505383 32.80626087218335, -115.54477014037968 32.807371278282595, -115.5446561241086 32.807369074786564, -115.54465472885867 32.80972189947129, -115.5408078770138 32.809718388267)), ((-115.54023917951513 32.81011180944934, -115.5403786958888 32.81020202208653, -115.5403798667235 32.813402427762675, -115.53640559654244 32.81340011296928, -115.53640302926651 32.8101071984279, -115.54023917951513 32.81011180944934)))","[[[6465972083, 6465972082, 6465972081, 6465972080, 6465972079, 6465972078, 6465972077, 6465972076, 6465972075, 6465972074, 6465972073, 6465972072, 6465972071, 6465972070, 6465972069, 6465972083], [6465972488, 6465972487, 6465972486, 6465972485, 6465972084, 6465972488], [6465972068, 6465972067, 6465972066, 6465972065, 6465972064, 6465972063, 6465972062, 6465972061, 6465972060, 6465972068]]]",,Sol Orchard El Centro PV,"Sol Orchard Imperial 1, LLC",20 MW,solar,plant,58621,U.S. Energy Information Administration - EIA-860 - 2020,2013-10,photovoltaic,"[689255858, 689255859, 689255857]",multipolygon,,,,,,,
relation,14297873,,"MULTIPOLYGON (((-115.57328734438435 32.67779359842296, -115.56523869018399 32.6778125693418, -115.56526687182479 32.67088930639393, -115.57332492705895 32.67087593623789, -115.57328734438435 32.67779359842296)), ((-115.60106679810572 32.69346549729081, -115.60910946075083 32.69322720494488, -115.60947352489382 32.700415804404, -115.60924409222054 32.700410197291134, -115.60909566661728 32.70051800336944, -115.60835346087624 32.700500980465975, -115.60833997578182 32.70008083981311, -115.6067476488333 32.700046690901736, -115.60674763244373 32.70045553008405, -115.60129585485731 32.700353163993974, -115.60106679810572 32.69346549729081)), ((-115.60091266950384 32.68614109074528, -115.6044956902826 32.68596327637356, -115.60461910678967 32.68599288274843, -115.60439560122558 32.69281993081958, -115.60431338091762 32.6930325488439, -115.60102990700558 32.69311146229822, -115.60091266950384 32.68614109074528)), ((-115.60070124176694 32.686076878530024, -115.60068896191325 32.693016943465544, -115.60062825047973 32.693085048253344, -115.59224145474036 32.69292009200337, -115.59224146247972 32.69272707350336, -115.59206593959479 32.69267026302542, -115.59221941400655 32.686373263825004, -115.59361151276995 32.68639300562572, -115.59402858543369 32.68607168677849, -115.60070124176694 32.686076878530024)), ((-115.59198039171012 32.693558745729916, -115.59616249261344 32.69352496240055, -115.59638781632108 32.69373938941285, -115.60080604792843 32.693784720414676, -115.60088360086529 32.70022553994424, -115.591778898307 32.70015527213813, -115.59198039171012 32.693558745729916)), ((-115.5917550608588 32.693522535798145, -115.5915803765438 32.69998825043927, -115.58515825783958 32.69993836145064, -115.58518507472294 32.699613331074374, -115.58359434541028 32.69964488846402, -115.58362935430604 32.69705544133191, -115.58243558362868 32.697044105999716, -115.58242763959929 32.693127230404, -115.5899818138029 32.69334416785397, -115.5917550608588 32.693522535798145)), ((-115.58238774097492 32.68546889522111, -115.59194308845714 32.68602242227019, -115.59178989164585 32.69287917513363, -115.58240085830633 32.692565075759326, -115.58238774097492 32.68546889522111)), ((-115.58204873076934 32.691993110841324, -115.58145224556787 32.691985593010784, -115.5814344186733 32.6925924506606, -115.56507956602573 32.6928018014207, -115.56509765305336 32.68571342262518, -115.58202228597868 32.6855340909897, -115.58204873076934 32.691993110841324)), ((-115.58191569952449 32.699775452815274, -115.57352899727721 32.69977521213254, -115.57363617721656 32.69318188341551, -115.58144410302201 32.693017291654556, -115.58142628364041 32.693436831351, -115.58191595172642 32.69348935043089, -115.58191569952449 32.699775452815274)), ((-115.57321772024189 32.69310696422821, -115.5732797606468 32.69979770713472, -115.5684721718082 32.69979006840952, -115.56806260949179 32.69987996526558, -115.5649821673405 32.69989487826021, -115.56487537699978 32.69927301561463, -115.56486659274472 32.696358436108255, -115.5662108863253 32.69633607255561, -115.56618422671256 32.695234666254564, -115.56577466861212 32.69521965305953, -115.56546320606837 32.69317414811317, -115.57321772024189 32.69310696422821)), ((-115.56484735292348 32.66986129579002, -115.56473113365644 32.669926498707994, -115.56473882952703 32.67005701144285, -115.56465361627039 32.670083111500894, -115.56466910881171 32.67032453509388, -115.54754815518487 32.67033704496939, -115.54754824916063 32.66799472040665, -115.56470796058343 32.666677286481324, -115.56484735292348 32.66986129579002)), ((-115.56470249596234 32.67076437822502, -115.56463000132092 32.677853355786674, -115.54759436206506 32.677807262393536, -115.54763335011458 32.67076768870064, -115.56470249596234 32.67076437822502)), ((-115.5517862269196 32.67869906822566, -115.5605373797706 32.67872772216254, -115.56053738318506 32.67864261400429, -115.56466667583247 32.67861993032506, -115.56467991597971 32.685145256180874, -115.56459219885062 32.68525886455225, -115.5605236157747 32.68525874776682, -115.56047646575578 32.683844710887236, -115.55608403721055 32.683821882613614, -115.55609068414843 32.68516781179858, -115.54868902348684 32.68516759925437, -115.5486688518316 32.68438952410926, -115.54766350800006 32.68438379468951, -115.54772432500106 32.681686237909034, -115.54758940589335 32.6816806334976, -115.54761645314933 32.67810829188164, -115.55139489386097 32.678125502013366, -115.55163242544448 32.678186614690375, -115.55179304681036 32.67822772324193, -115.5517862269196 32.67869906822566)))","[[[8332346841, 8332346842, 8332346843, 8332346844, 8332346845, 8332346846, 8332346847, 8332346848, 8332346841], [8332346849, 8332346850, 8379272309, 8332346851, 8332346852, 8332346853, 8332346854, 8332346855, 8332346856, 8332346857, 8332346858, 8332346859, 8332346860, 8332346861, 8332346862, 8332346863, 8332346864, 8332346865, 8332346866, 8332346849], [7087626773, 7087626775, 7087626772, 7087626774, 7087626773], [8332346837, 8332346838, 8332346839, 8332346840, 8332346837], [8332346814, 8332346815, 8332346816, 8332346817, 8332346818, 8332346819, 8332346814], [8332346820, 8332346821, 8332346822, 8332346823, 8332346824, 8332346825, 8332346826, 8332346827, 8332346828, 8332346829, 8332346830, 8332346820], [8332346831, 8332346832, 8332346833, 8332346834, 8332346835, 8332346836, 8332346831], [4196335152, 4196335164, 4196335163, 4196335161, 4196335162, 4196335160, 4196335159, 4196335388, 4196335390, 4196335152], [4196335154, 4196335153, 4196335155, 4196335156, 4196335166, 4196335165, 4196335154], [4196335366, 4196335382, 4196335385, 4196335376, 4196335366], [8332346796, 8332346797, 8332346798, 8332346799, 8332346800, 8332346801, 8332346802, 8332346803, 8332346804, 8332346805, 8332346796], [8332346781, 8332346782, 8332346783, 8332346784, 8332346785, 8332346786, 8332346781], [8332346787, 8332346788, 8332346789, 8332346790, 8332346791, 8332346792, 8332346793, 8332346794, 8332346795, 8332346787]]]",,Mount Signal Solar Farm V,"Imperial Valley Solar 3, LLC",252.3 MW,solar,plant,61202,U.S. Energy Information Administration - EIA-860 - 2021,2018-11,photovoltaic,"[896355490, 896355491, 758867895, 896355489, 896355486, 896355487, 896355488, 419597385, 419597379, 419597375, 896355484, 896355482, 896355483]",multipolygon,,,,,,,
relation,14297874,,"MULTIPOLYGON (((-115.63513482262574 32.67747823998558, -115.63517226606821 32.67152426990955, -115.63534739114384 32.67152507499671, -115.63535051092681 32.671041428687076, -115.6436241956418 32.67107946898527, -115.64358273240511 32.677516285310226, -115.63513482262574 32.67747823998558)), ((-115.63447502863939 32.68496283895017, -115.62609862860964 32.68493699670735, -115.62612830708781 32.678083840324426, -115.63330633535774 32.678105847864494, -115.6333014909503 32.67919875255189, -115.63450036269283 32.67920258722571, -115.63447502863939 32.68496283895017)), ((-115.63446981635366 32.670248727443365, -115.63329274758208 32.67024919381413, -115.63329284441322 32.670328801454176, -115.63300060249989 32.67032919313093, -115.6330004054505 32.67025468597736, -115.6253588092371 32.67027216900002, -115.62535920448616 32.670392380543255, -115.62227956266355 32.67040079321107, -115.622255856273 32.67047559970856, -115.61864523668845 32.67052540113587, -115.6185740296736 32.670445591441776, -115.61839000388572 32.670430784753506, -115.61840811287895 32.670270869932104, -115.61832510437242 32.670186059420445, -115.61749248515383 32.67018263525697, -115.61751524732153 32.66621015482989, -115.61827775650113 32.6662131769455, -115.61837267329872 32.666133372006165, -115.61837864042695 32.664476313202485, -115.61827782996846 32.66437650074113, -115.6179399815375 32.66437659107996, -115.6179391397143 32.66291885119788, -115.62572177879493 32.66233101750643, -115.6344650322889 32.662327367270414, -115.63446981635366 32.670248727443365)), ((-115.6174330237096 32.68150091909114, -115.61742735000716 32.6783251143705, -115.6175994746911 32.67832491928027, -115.617599571563 32.67840342681222, -115.61767958303751 32.678403329093825, -115.61767919198313 32.678178407511766, -115.6255369189717 32.67816703137565, -115.6257466160774 32.68149005607664, -115.6174330237096 32.68150091909114)), ((-115.61666082053559 32.67131742029985, -115.61666852655627 32.67369384846258, -115.61640816161147 32.67438410721347, -115.61640673759412 32.6774780039051, -115.60893496657185 32.677475589695725, -115.60874220524288 32.67332108573938, -115.60900264257086 32.67332119320844, -115.60908725754993 32.67324998880251, -115.60908533472619 32.671314803138664, -115.60998276339252 32.67131412877362, -115.60998276646677 32.671237321406664, -115.61022910178485 32.67123712844229, -115.61022919851679 32.67131913631093, -115.61497607909148 32.67131587191753, -115.61497588257267 32.67122816349892, -115.615277125775 32.671227672076526, -115.61527742210008 32.67132058099684, -115.61666082053559 32.67131742029985)), ((-115.59585964236821 32.67123141629087, -115.6076385279457 32.67129966025213, -115.6076390307356 32.67123175375334, -115.60834083101088 32.67123977462129, -115.60866312699105 32.67749088337617, -115.59574557854964 32.67741070559845, -115.59570132277646 32.671154004330404, -115.59586074565789 32.671153208821984, -115.59585964236821 32.67123141629087)), ((-115.5912338706594 32.67144920462474, -115.59512012937286 32.671406311874875, -115.5952119022192 32.677406589909815, -115.59379529943587 32.67739994867477, -115.59150977227486 32.67738918213696, -115.59128496109291 32.67436758595361, -115.5912338706594 32.67144920462474)))","[[[8332327632, 8332327633, 8332327634, 8332327635, 8332327636, 8332327637, 8332327632], [8332327674, 8332327675, 8332327697, 8332327676, 8332327677, 8332327678, 8332327679, 8332327680, 8332327681, 8332327682, 8332327683, 8332327684, 8332327685, 8332327686, 8332327687, 8332327688, 8332327689, 8332327690, 8332327691, 8332327692, 8332327693, 8332327694, 8332327695, 8332327696, 8332327674], [8332327638, 8332327639, 8332327640, 8332327641, 8332327642, 8332327643, 8332327644, 8332327645, 8332327646, 8332327647, 8332327648, 8332327649, 8332327650, 8332327651, 8332327652, 8332327653, 8332327654, 8332327638], [8332346720, 8332346721, 8332346722, 8332346723, 8332346724, 8332346725, 8332346726, 8332346727, 8332346720], [8332346728, 8332346729, 8332346730, 8379297569, 8332346731, 8332346732, 8332346728], [8332327655, 8332327656, 8332327657, 8332327658, 8332327659, 8332327660, 8332327661, 8332327662, 8332327655], [8332327622, 8332327623, 8332327624, 8332327625, 8332327626, 8332327627, 8332327622]]]",,Mount Signal Solar Farm II,"Imperial Valley Solar 2, LLC",153.5 MW,solar,plant,61353,U.S. Energy Information Administration - EIA-860 - 2021,2020-01,photovoltaic,"[896354048, 896354052, 896354049, 896355475, 896355476, 896354050, 896354046]",multipolygon,,,,,,,
