MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230207,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-02-07,2023-02-13,2
20230131,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-01-31,2023-02-06,2
20230124,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-01-24,2023-01-30,2
20230117,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-01-17,2023-01-23,2
20230110,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-01-10,2023-01-16,2
20230103,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2023-01-03,2023-01-09,2
20221227,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2022-12-27,2023-01-02,2
20221220,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2022-12-20,2022-12-26,2
20221213,06025,Imperial County,CA,0.00,47.65,52.35,0.00,0.00,0.00,2022-12-13,2022-12-19,2
20221206,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-12-06,2022-12-12,2
20221129,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-11-29,2022-12-05,2
20221122,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-11-22,2022-11-28,2
20221115,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-11-15,2022-11-21,2
20221108,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-11-08,2022-11-14,2
20221101,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-11-01,2022-11-07,2
20221025,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-10-25,2022-10-31,2
20221018,06025,Imperial County,CA,0.00,0.00,100.00,0.00,0.00,0.00,2022-10-18,2022-10-24,2
20221011,06025,Imperial County,CA,0.00,0.00,83.23,16.77,0.00,0.00,2022-10-11,2022-10-17,2
20221004,06025,Imperial County,CA,0.00,0.00,82.82,17.18,0.00,0.00,2022-10-04,2022-10-10,2
20220927,06025,Imperial County,CA,0.00,0.00,83.10,16.90,0.00,0.00,2022-09-27,2022-10-03,2
20220920,06025,Imperial County,CA,0.00,0.00,82.78,17.22,0.00,0.00,2022-09-20,2022-09-26,2
20220913,06025,Imperial County,CA,0.00,0.00,82.78,17.22,0.00,0.00,2022-09-13,2022-09-19,2
20220906,06025,Imperial County,CA,0.00,0.00,0.00,100.00,0.00,0.00,2022-09-06,2022-09-12,2
20220830,06025,Imperial County,CA,0.00,0.00,0.00,100.00,0.00,0.00,2022-08-30,2022-09-05,2
20220823,06025,Imperial County,CA,0.00,0.00,0.00,57.54,42.46,0.00,2022-08-23,2022-08-29,2
20220816,06025,Imperial County,CA,0.00,0.00,0.00,57.54,42.46,0.00,2022-08-16,2022-08-22,2
20220809,06025,Imperial County,CA,0.00,0.00,0.00,43.91,56.09,0.00,2022-08-09,2022-08-15,2
20220802,06025,Imperial County,CA,0.00,0.00,0.00,44.03,55.97,0.00,2022-08-02,2022-08-08,2
20220726,06025,Imperial County,CA,0.00,0.00,0.00,44.03,55.97,0.00,2022-07-26,2022-08-01,2
