MapDate,FIPS,CountyName,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230207,6025,Imperial,CA,0,47.65,52.35,0,0,0,2/7/2023,2/13/2023,2
20230131,6025,Imperial,CA,0,47.65,52.35,0,0,0,1/31/2023,2/6/2023,2
20230124,6025,Imperial,CA,0,47.65,52.35,0,0,0,1/24/2023,1/30/2023,2
20230117,6025,Imperial,CA,0,47.65,52.35,0,0,0,1/17/2023,1/23/2023,2
20230110,6025,Imperial,CA,0,47.65,52.35,0,0,0,1/10/2023,1/16/2023,2
20230103,6025,Imperial,CA,0,47.65,52.35,0,0,0,1/3/2023,1/9/2023,2
20221227,6025,Imperial,CA,0,47.65,52.35,0,0,0,12/27/2022,1/2/2023,2
20221220,6025,Imperial,CA,0,47.65,52.35,0,0,0,12/20/2022,12/26/2022,2
20221213,6025,Imperial,CA,0,47.65,52.35,0,0,0,12/13/2022,12/19/2022,2
20221206,6025,Imperial,CA,0,0,100,0,0,0,12/6/2022,12/12/2022,2
20221129,6025,Imperial,CA,0,0,100,0,0,0,11/29/2022,12/5/2022,2
20221122,6025,Imperial,CA,0,0,100,0,0,0,11/22/2022,11/28/2022,2
20221115,6025,Imperial,CA,0,0,100,0,0,0,11/15/2022,11/21/2022,2
20221108,6025,Imperial,CA,0,0,100,0,0,0,11/8/2022,11/14/2022,2
20221101,6025,Imperial,CA,0,0,100,0,0,0,11/1/2022,11/7/2022,2
20221025,6025,Imperial,CA,0,0,100,0,0,0,10/25/2022,10/31/2022,2
20221018,6025,Imperial,CA,0,0,100,0,0,0,10/18/2022,10/24/2022,2
20221011,6025,Imperial,CA,0,0,83.23,16.77,0,0,10/11/2022,10/17/2022,2
20221004,6025,Imperial,CA,0,0,82.82,17.18,0,0,10/4/2022,10/10/2022,2
20220927,6025,Imperial,CA,0,0,83.1,16.9,0,0,9/27/2022,10/3/2022,2
20220920,6025,Imperial,CA,0,0,82.78,17.22,0,0,9/20/2022,9/26/2022,2
20220913,6025,Imperial,CA,0,0,82.78,17.22,0,0,9/13/2022,9/19/2022,2
20220906,6025,Imperial,CA,0,0,0,100,0,0,9/6/2022,9/12/2022,2
20220830,6025,Imperial,CA,0,0,0,100,0,0,8/30/2022,9/5/2022,2
20220823,6025,Imperial,CA,0,0,0,57.54,42.46,0,8/23/2022,8/29/2022,2
20220816,6025,Imperial,CA,0,0,0,57.54,42.46,0,8/16/2022,8/22/2022,2
20220809,6025,Imperial,CA,0,0,0,43.91,56.09,0,8/9/2022,8/15/2022,2
20220802,6025,Imperial,CA,0,0,0,44.03,55.97,0,8/2/2022,8/8/2022,2
20220726,6025,Imperial,CA,0,0,0,44.03,55.97,0,7/26/2022,8/1/2022,2
20220719,6025,Imperial,CA,0,0,0,44.03,55.97,0,7/19/2022,7/25/2022,2
20220712,6025,Imperial,CA,0,0,0,44.03,55.97,0,7/12/2022,7/18/2022,2
20220705,6025,Imperial,CA,0,0,0,44.03,55.97,0,7/5/2022,7/11/2022,2
20220628,6025,Imperial,CA,0,0,0,44.03,55.97,0,6/28/2022,7/4/2022,2
20220621,6025,Imperial,CA,0,0,0,44.03,55.97,0,6/21/2022,6/27/2022,2
20220614,6025,Imperial,CA,0,0,0,44.03,55.97,0,6/14/2022,6/20/2022,2
20220607,6025,Imperial,CA,0,0,0,44.03,55.97,0,6/7/2022,6/13/2022,2
20220531,6025,Imperial,CA,0,0,0,44.03,55.97,0,5/31/2022,6/6/2022,2
20220524,6025,Imperial,CA,0,0,0,44.03,55.97,0,5/24/2022,5/30/2022,2
