Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A00001_001,SE_A19001_001,SE_A19001_002,SE_A19001_003,PCT_SE_A19001_002,PCT_SE_A19001_003,SE_B17008_001,SE_B17008_002,SE_B17008_003,SE_B17008_004,SE_B17008_005,SE_B17008_006,SE_B17008_007,SE_B17008_008,SE_B17008_009,SE_B17008_010,SE_B17008_011,SE_B17008_012,SE_B17008_013,SE_B17008_014,PCT_SE_B17008_002,PCT_SE_B17008_003,PCT_SE_B17008_004,PCT_SE_B17008_005,PCT_SE_B17008_006,PCT_SE_B17008_007,PCT_SE_B17008_008,PCT_SE_B17008_009,PCT_SE_B17008_010,PCT_SE_B17008_011,PCT_SE_B17008_012,PCT_SE_B17008_013,PCT_SE_B17008_014,SE_A17009_001,SE_A17009_002,SE_A17009_003,SE_A17009_004,SE_A17009_005,SE_A17009_006,PCT_SE_A17009_002,PCT_SE_A17009_003,PCT_SE_A17009_004,PCT_SE_A17009_005,PCT_SE_A17009_006,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,PCT_SE_A14001_002,PCT_SE_A14001_003,PCT_SE_A14001_004,PCT_SE_A14001_005,PCT_SE_A14001_006,PCT_SE_A14001_007,PCT_SE_A14001_008,PCT_SE_A14001_009,PCT_SE_A14001_010,PCT_SE_A14001_011,PCT_SE_A14001_012,PCT_SE_A14001_013,PCT_SE_A14001_014,PCT_SE_A14001_015,PCT_SE_A14001_016,PCT_SE_A14001_017,SE_A14024_001
ACSSF,ca,140,0,3857,,,,,6,25,,,10101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010101,Census Tract 101.01,,,"Census Tract 101.01, Imperial County, California",6025010101,379172003,954069,,,,,,,,4207,4207,4164,43,98.98,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,43,9,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,74.42,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1718
ACSSF,ca,140,0,3858,,,,,6,25,,,10102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010102,Census Tract 101.02,,,"Census Tract 101.02, Imperial County, California",6025010102,233852831,189009524,,,,,,,,3903,3903,21,3882,0.54,99.46,1405,71,52,158,29,47,43,25,130,113,347,194,95,101,5.05,3.7,11.25,2.06,3.35,3.06,1.78,9.25,8.04,24.7,13.81,6.76,7.19,1405,936,237,232,0,0,66.62,16.87,16.51,0,0,1305,293,180,60,11,77,10,118,40,186,111,61,46,89,23,0,0,22.45,13.79,4.6,0.84,5.9,0.77,9.04,3.07,14.25,8.51,4.67,3.52,6.82,1.76,0,0,13573
ACSSF,ca,140,0,3859,,,,,6,25,,,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010200,Census Tract 102,,,"Census Tract 102, Imperial County, California",6025010200,187539094,36114014,,,,,,,,2765,2765,0,2765,0,100,800,105,56,70,30,52,38,0,46,66,176,67,7,87,13.12,7,8.75,3.75,6.5,4.75,0,5.75,8.25,22,8.38,0.88,10.88,800,622,120,33,25,0,77.75,15,4.12,3.12,0,631,57,60,34,20,53,106,30,15,5,55,45,48,21,28,21,33,9.03,9.51,5.39,3.17,8.4,16.8,4.75,2.38,0.79,8.72,7.13,7.61,3.33,4.44,3.33,5.23,15385
ACSSF,ca,140,0,3860,,,,,6,25,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010300,Census Tract 103,,,"Census Tract 103, Imperial County, California",6025010300,467707929,338212,,,,,,,,918,918,0,918,0,100,371,47,68,29,0,25,3,14,13,21,100,26,19,6,12.67,18.33,7.82,0,6.74,0.81,3.77,3.5,5.66,26.95,7.01,5.12,1.62,371,260,14,23,49,25,70.08,3.77,6.2,13.21,6.74,252,18,3,2,12,19,9,20,7,3,6,43,24,20,18,29,19,7.14,1.19,0.79,4.76,7.54,3.57,7.94,2.78,1.19,2.38,17.06,9.52,7.94,7.14,11.51,7.54,26216
ACSSF,ca,140,0,3863,,,,,6,25,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010500,Census Tract 105,,,"Census Tract 105, Imperial County, California",6025010500,3629627,0,,,,,,,,7361,7361,0,7361,0,100,2462,241,371,77,203,75,126,42,340,534,160,132,98,63,9.79,15.07,3.13,8.25,3.05,5.12,1.71,13.81,21.69,6.5,5.36,3.98,2.56,2462,1151,972,215,124,0,46.75,39.48,8.73,5.04,0,2179,243,115,58,82,120,0,39,74,62,108,86,499,328,174,29,162,11.15,5.28,2.66,3.76,5.51,0,1.79,3.4,2.85,4.96,3.95,22.9,15.05,7.99,1.33,7.43,26715
ACSSF,ca,140,0,3864,,,,,6,25,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010600,Census Tract 106,,,"Census Tract 106, Imperial County, California",6025010600,8609621,0,,,,,,,,7089,7089,94,6995,1.33,98.67,2787,331,484,246,358,150,97,10,165,257,29,418,42,200,11.88,17.37,8.83,12.85,5.38,3.48,0.36,5.92,9.22,1.04,15,1.51,7.18,2787,1785,777,134,82,9,64.05,27.88,4.81,2.94,0.32,2083,73,62,49,149,48,10,60,79,121,168,55,480,336,176,75,142,3.5,2.98,2.35,7.15,2.3,0.48,2.88,3.79,5.81,8.07,2.64,23.04,16.13,8.45,3.6,6.82,30467
ACSSF,ca,140,0,3865,,,,,6,25,,,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010700,Census Tract 107,,,"Census Tract 107, Imperial County, California",6025010700,5585852,0,,,,,,,,4239,4239,0,4239,0,100,1101,93,114,198,28,18,23,54,23,110,143,89,44,164,8.45,10.35,17.98,2.54,1.63,2.09,4.9,2.09,9.99,12.99,8.08,4,14.9,1101,691,297,53,60,0,62.76,26.98,4.81,5.45,0,1171,166,109,244,41,99,52,75,46,43,68,101,77,27,13,10,0,14.18,9.31,20.84,3.5,8.45,4.44,6.4,3.93,3.67,5.81,8.63,6.58,2.31,1.11,0.85,0,11085
ACSSF,ca,140,0,3866,,,,,6,25,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010800,Census Tract 108,,,"Census Tract 108, Imperial County, California",6025010800,289980912,0,,,,,,,,1103,1103,0,1103,0,100,529,92,45,16,14,6,26,0,164,38,27,50,11,40,17.39,8.51,3.02,2.65,1.13,4.91,0,31,7.18,5.1,9.45,2.08,7.56,529,376,90,61,2,0,71.08,17.01,11.53,0.38,0,343,14,13,11,30,26,0,9,0,5,18,21,112,10,37,12,25,4.08,3.79,3.21,8.75,7.58,0,2.62,0,1.46,5.25,6.12,32.65,2.92,10.79,3.5,7.29,32695
ACSSF,ca,140,0,3867,,,,,6,25,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025010900,Census Tract 109,,,"Census Tract 109, Imperial County, California",6025010900,16189623,11902,,,,,,,,6675,6675,26,6649,0.39,99.61,2320,137,255,171,91,137,46,15,181,299,373,107,197,311,5.91,10.99,7.37,3.92,5.91,1.98,0.65,7.8,12.89,16.08,4.61,8.49,13.41,2320,1476,523,184,137,0,63.62,22.54,7.93,5.91,0,1677,106,150,157,146,18,62,46,64,79,124,167,148,161,110,39,100,6.32,8.94,9.36,8.71,1.07,3.7,2.74,3.82,4.71,7.39,9.96,8.83,9.6,6.56,2.33,5.96,19492
ACSSF,ca,140,0,3870,,,,,6,25,,,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06025011100,Census Tract 111,,,"Census Tract 111, Imperial County, California",6025011100,201633556,146453,,,,,,,,4001,4001,356,3645,8.9,91.1,1417,174,247,122,31,45,0,68,241,53,262,77,38,59,12.28,17.43,8.61,2.19,3.18,0,4.8,17.01,3.74,18.49,5.43,2.68,4.16,1417,955,246,97,119,0,67.4,17.36,6.85,8.4,0,992,41,60,77,100,75,89,11,55,16,167,60,77,29,88,35,12,4.13,6.05,7.76,10.08,7.56,8.97,1.11,5.54,1.61,16.83,6.05,7.76,2.92,8.87,3.53,1.21,19394
