FIPS,Population,Extreme Heat: Days Above 90 degrees F (2035 - 2064),Percentile Rank in California
6025010102,4108,215.4083333,0.998845117
6025010200,2728,213.1,0.996920313
6025010400,7303,207.7166667,0.987232131
6025010500,7421,207.7166667,0.987232131
6025010600,6910,206.325,0.984665726
6025010700,4409,205.3333333,0.984344925
6025010900,7497,206.325,0.984665726
6025011000,14848,211.3166667,0.993968946
6025011100,4219,210.1666667,0.992108302
6025011201,6221,210.1666667,0.992108302
6025011202,5626,206.3583333,0.984986526
6025011300,11695,212.0416667,0.99563711
6025011400,4570,207.8,0.987424612
6025011500,6227,208.5833333,0.988002053
6025011600,5728,208.5833333,0.988002053
6025011700,5243,208.5833333,0.988002053
6025011801,4423,206.3583333,0.984986526
6025011802,5336,206.3583333,0.984986526
6025011803,6106,208.5833333,0.988002053
6025011900,11456,213.9833333,0.997369434
6025012001,3884,199.3083333,0.982740921
6025012002,10765,199.3083333,0.982740921
6025012100,6779,203.4166667,0.984152445
6025012200,7237,203.4166667,0.984152445
6025012302,6290,220.0333333,0.999486719
6025940000,1664,214.9,0.998588477
