Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6025012100,6779,Imperial ,92231,Calexico,-115.4976096,32.6767102,60.51,96.03,95-100% (highest scores),0.054,70.28,11.84684504,71.16,0.784,96.60,440.68,52.74,64.79,72.58,0.00,0.00,439.7705587,49.09,2837,95.01,7,50.32,23,72.49,0.3,50.14,26,99.52,0,0.00,60.45,7.38,91.56,60.28,69.34,4.13,29.66,21.12,90.95,43.5,92.52,52.8,99.62,56.6,88.73,28.8,99.88,31.8,92.94,79.03,8.20,91.55
6025012200,7237,Imperial ,92231,Calexico,-115.5143868,32.6730724,58.38,94.70,90-95%,0.054,70.28,11.21152955,56.99,0.433,86.72,440.60,51.67,39.87,36.98,59.16,73.34,449.8443095,49.54,3199,96.73,7,50.32,0,0.00,0.2,35.62,26,99.52,6,79.95,61.21,7.47,92.35,60.28,69.34,4.47,37.88,21.12,90.95,44.5,93.23,47.7,99.31,46.5,78.10,10.8,89.19,20,62.83,75.29,7.81,87.01
6025011400,4570,Imperial ,92243,El Centro,-115.5453184,32.7938734,54.85,92.41,90-95%,0.050,62.53,8.702281199,29.88,0.094,35.05,392.74,42.65,66.58,74.81,57.13,73.14,39.49348067,16.52,1000.786639,57.85,8,53.43,5,30.88,0.675,77.46,10,82.97,6,79.95,54.35,6.64,81.01,100.38,92.80,4.86,48.54,20.31,88.27,48.7,95.82,25.4,92.72,73,98.33,15.4,97.14,13.4,30.20,79.69,8.27,92.31
6025010400,7303,Imperial ,92227,Brawley,-115.5223739,32.9902904,53.21,91.05,90-95%,0.043,32.15,9.051216809,38.44,0.099,37.04,457.96,54.99,53.37,56.31,50.51,72.28,20.4044329,11.64,374.8528974,12.51,24,85.63,17,63.37,0.15,26.67,26,99.52,2,52.90,48.15,5.88,65.49,135.16,97.74,5.03,53.16,19.97,87.41,39.7,89.72,25.5,92.80,70.8,97.65,21.7,99.52,34.3,95.64,87.25,9.05,98.06
6025010200,2728,Imperial ,92281,Unincorporated Imperial County area,-115.6689803,33.0633411,50.99,88.84,85-90%,0.042,24.92,8.783557581,32.40,0.033,11.55,461.84,55.55,60.28,66.20,2030.99,92.93,3.830813,7.06,376.2757343,12.61,0,0.00,13,54.52,1.5,90.30,35,99.96,5,75.67,46.63,5.69,61.31,157.49,99.25,6.45,82.91,21.26,91.65,32.7,83.23,14.3,75.53,56.7,88.81,15.2,96.97,19.9,62.42,86.33,8.96,97.47
6025011300,11695,Imperial ,92243,Unincorporated Imperial County area,-115.4937382,32.775654,50.80,88.64,85-90%,0.050,62.70,9.409244235,43.37,0.079,29.32,481.79,58.32,40.84,38.30,1721.75,92.14,175.1465454,32.07,556.8299072,25.25,2,25.63,18.3,65.66,0.95,84.49,26,99.52,22.6,98.88,56.73,6.93,85.76,68.86,77.59,4.5,38.71,18.86,83.72,34.7,84.92,28.1,94.63,48.6,80.34,7.7,73.41,15.3,40.27,70.69,7.33,80.94
6025010500,7421,Imperial ,92227,Brawley,-115.544002,32.9875564,49.07,86.83,85-90%,0.043,32.15,9.091847481,39.19,0.065,24.16,457.96,54.99,42.07,39.94,151.87,79.52,19.65515803,11.50,687.46522,35.10,12.5,70.18,21.5,70.30,0.275,46.35,26,99.52,1,35.72,47.85,5.84,64.52,135.16,97.74,4.98,51.82,19.97,87.41,28.1,77.73,23.2,90.49,59.5,91.32,17.2,98.30,18.6,56.86,80.96,8.40,93.47
6025011500,6227,Imperial ,92243,El Centro,-115.561293,32.7984899,48.30,85.88,85-90%,0.050,60.66,8.465041255,21.92,0.255,70.89,392.74,42.65,62.29,68.85,4.72,54.03,36.46799403,15.87,937.3153588,54.33,8,53.43,9.5,44.83,0.26,44.73,10,82.97,0,0.00,47.50,5.80,63.53,100.38,92.80,4.24,32.27,20.31,88.27,47.7,95.18,32,96.47,59,90.94,19.7,99.14,20.7,65.55,80.28,8.33,92.79
6025010600,6910,Imperial ,92227,Brawley,-115.5527364,32.9645537,47.78,85.21,85-90%,0.045,37.78,9.050525809,38.42,0.118,42.84,456.96,54.90,40.96,38.49,514.46,85.86,20.64512637,11.75,686.6449621,35.04,13.5,72.40,30,79.69,0.55,72.59,26,99.52,5,75.67,55.41,6.77,83.15,135.09,97.71,4.73,44.77,19.96,87.33,13.9,52.87,13.5,72.76,38.9,67.45,14.7,96.58,8.4,8.04,68.07,7.06,77.45
6025011900,11456,Imperial ,92231,Unincorporated Imperial County area,-115.4952025,32.6969128,46.90,84.29,80-85%,0.052,65.72,9.955776833,48.70,0.081,30.14,472.63,57.24,35.16,30.72,1058.67,89.48,379.1822205,46.05,309,8.75,7,50.32,25,74.83,1.11,86.60,26,99.52,13.5,95.01,58.49,7.14,88.71,59.4,68.47,3.71,20.35,20.71,89.38,25.1,73.42,19.1,85.25,42,72.09,6.8,65.63,15.2,39.70,63.31,6.57,70.52
