Year,Race ,Population
2021,White,86476
2021,Black or African American,4889
2021,American Indian and Alaska Native,2538
2021,Asian,2525
2021,Native Hawaiian and Other Pacific Islander,166
2021,Some other Race Alone,56601
2021,Hispanic or Latino,153218
2021,Not Hispanic or Latino,26833
2016,White,124349
2016,Black or African American,4856
2016,American Indian and Alaska Native,1914
2016,Asian,2558
2016,Native Hawaiian and Other Pacific Islander,254
2016,Some other Race Alone,36347
2016,Hispanic or Latino,147880
2016,Not Hispanic or Latino,30927
